0.7	2.00502	0.668339	0.668339	0.668339	0.250613	0.250613	0.250613	236.621	-1.32728	2.81848	-1.07494	236.625
0.7	20.0376	6.67921	6.67921	6.67921	1.54175	1.54175	1.54175	242.086	-1.34476	27.554	-6.52168	242.09
3000.7	6.27306	2.09102	2.09102	2.09102	0.179185	0.179185	0.179185	236.683	-1.53792	8.8294	-0.814438	236.688
3000.7	19.5962	6.53206	6.53206	6.53206	1.28531	1.28531	1.28531	242.141	-1.31774	26.9466	-5.45478	242.144
6000.7	6.34539	2.11513	2.11513	2.11513	0.18711	0.18711	0.18711	237.324	-1.15204	8.90839	-0.83166	237.327
6000.7	16.9804	5.66015	5.66015	5.66015	1.32117	1.32117	1.32117	242.145	-1.13941	23.3488	-5.56597	242.148
9000.7	6.12031	2.0401	2.0401	2.0401	0.120324	0.120324	0.120324	237.555	-1.24997	8.585	-0.55168	237.559
9000.7	16.4233	5.47444	5.47444	5.47444	1.123	1.123	1.123	242.188	-1.10385	22.5825	-4.73982	242.191
12000.7	6.04211	2.01404	2.01404	2.01404	0.107956	0.107956	0.107956	237.614	-1.32479	8.4733	-0.501577	237.618
12000.7	16.4276	5.47587	5.47587	5.47587	1.03031	1.03031	1.03031	242.207	-1.10522	22.5883	-4.35691	242.21
15000.7	6.10844	2.03615	2.03615	2.03615	0.145867	0.145867	0.145867	237.672	-1.29189	8.56346	-0.660281	237.676
15000.7	16.1968	5.39892	5.39892	5.39892	1.01741	1.01741	1.01741	242.211	-1.08968	22.2708	-4.3007	242.213
18000.7	1.25842	0.419475	0.419475	0.419475	0.136674	0.136674	0.136674	238.931	-0.652337	1.75406	-0.576811	238.932
18000.7	11.8823	3.96076	3.96076	3.96076	1.10233	1.10233	1.10233	242.213	-0.795233	16.3373	-4.60471	242.214
21000.7	1.49545	0.498484	0.498484	0.498484	0.0507884	0.0507884	0.0507884	237.783	-1.04072	2.09541	-0.222763	237.785
21000.7	16.0443	5.3481	5.3481	5.3481	1.29837	1.29837	1.29837	242.154	-1.07601	22.0612	-5.45979	242.157
