60.52	13.6839	207.059	0.20383	3.74709	242.177
120.52	11.5843	151.571	0.149204	3.66384	242.191
180.52	11.5889	148.161	0.145853	3.10024	242.229
240.52	11.1374	137.32	0.135179	3.07811	242.233
300.52	11.8823	156.716	0.154277	3.30698	242.214
360.52	20.3666	469.843	0.462534	6.32999	241.972
420.52	36.0827	1414.28	1.39229	8.02718	241.786
480.52	40.4229	1774.72	1.74711	8.97209	241.701
540.52	37.3794	1538.5	1.51461	9.28737	241.694
600.52	23.8035	664.665	0.654498	8.08983	241.837
660.52	18.6812	485.597	0.478294	10.2256	241.713
720.52	15.3338	378.998	0.373355	10.7351	241.692
780.52	18.6337	470.532	0.463529	9.37212	241.772
840.52	16.483	364.088	0.358632	8.22026	241.859
900.52	19.7535	464.1	0.457023	7.07615	241.924
960.52	25.2326	706.124	0.695238	6.3767	241.948
1020.52	38.1683	1608.57	1.58403	8.238	241.762
1080.52	51.1473	2864.19	2.82031	10.2848	241.56
1140.52	59.2878	3863.84	3.80398	13.75	241.281
1200.52	60.9191	4068.95	4.00612	13.3115	241.303
1260.52	48.2928	2576.33	2.53664	11.3504	241.501
1320.52	45.6589	2299.26	2.26398	10.2027	241.592
1380.52	35.9171	1434.42	1.41239	8.86768	241.729
1440.52	5.03123	31.6359	0.0312308	0.00731971	242.467
1500.52	5.03123	31.6359	0.0312308	0.00731971	242.467
1560.52	5.03123	31.6359	0.0312308	0.00731971	242.467
1620.52	5.03123	31.6359	0.0312308	0.00731971	242.467
1680.52	5.03123	31.6359	0.0312308	0.00731971	242.467
1740.52	5.03123	31.6359	0.0312308	0.00731971	242.467
1800.52	5.03123	31.6359	0.0312308	0.00731971	242.467
1860.52	5.03123	31.6359	0.0312308	0.00731971	242.467
1920.52	5.03123	31.6359	0.0312308	0.00731971	242.467
1980.52	5.03123	31.6359	0.0312308	0.00731971	242.467
2040.52	5.03123	31.6359	0.0312308	0.00731971	242.467
