0.8	Load.LD3	2.14504	237.118
0.8	Load.LD2	2.16215	237.267
0.8	Load.LD1	1.78583	237.437
0.8	Load.LD4	1.97975	236.989
0.8	Load.LD5	1.86036	236.88
0.8	Load.LD6	2.06599	236.788
0.8	Load.LD7	1.90827	236.716
0.8	Load.LD8	1.89683	236.661
0.8	Load.LD9	1.80024	236.625
0.8	Load.LD10	1.95236	236.605
60.8	Load.LD3	2.14504	237.118
60.8	Load.LD2	2.16215	237.267
60.8	Load.LD1	1.78583	237.437
60.8	Load.LD4	1.97975	236.989
60.8	Load.LD5	1.86036	236.88
60.8	Load.LD6	2.06599	236.788
60.8	Load.LD7	1.90827	236.716
60.8	Load.LD8	1.89683	236.661
60.8	Load.LD9	1.80024	236.625
60.8	Load.LD10	1.95236	236.605
120.8	Load.LD3	2.14504	237.118
120.8	Load.LD2	2.16215	237.267
120.8	Load.LD1	1.78583	237.437
120.8	Load.LD4	1.97975	236.989
120.8	Load.LD5	1.86036	236.88
120.8	Load.LD6	2.06599	236.788
120.8	Load.LD7	1.90827	236.716
120.8	Load.LD8	1.89683	236.661
120.8	Load.LD9	1.80024	236.625
120.8	Load.LD10	1.95236	236.605
180.8	Load.LD3	2.14504	237.118
180.8	Load.LD2	2.16215	237.267
180.8	Load.LD1	1.78583	237.437
180.8	Load.LD4	1.97975	236.989
180.8	Load.LD5	1.86036	236.88
180.8	Load.LD6	2.06599	236.788
180.8	Load.LD7	1.90827	236.716
180.8	Load.LD8	1.89683	236.661
180.8	Load.LD9	1.80024	236.625
180.8	Load.LD10	1.95236	236.605
240.8	Load.LD3	2.14504	237.118
240.8	Load.LD2	2.16215	237.267
240.8	Load.LD1	1.78583	237.437
240.8	Load.LD4	1.97975	236.989
240.8	Load.LD5	1.86036	236.88
240.8	Load.LD6	2.06599	236.788
240.8	Load.LD7	1.90827	236.716
240.8	Load.LD8	1.89683	236.661
240.8	Load.LD9	1.80024	236.625
240.8	Load.LD10	1.95236	236.605
300.8	Load.LD3	2.14504	237.118
300.8	Load.LD2	2.16215	237.267
300.8	Load.LD1	1.78583	237.437
300.8	Load.LD4	1.97975	236.989
300.8	Load.LD5	1.86036	236.88
300.8	Load.LD6	2.06599	236.788
300.8	Load.LD7	1.90827	236.716
300.8	Load.LD8	1.89683	236.661
300.8	Load.LD9	1.80024	236.625
300.8	Load.LD10	1.95236	236.605
360.8	Load.LD3	2.14504	237.118
360.8	Load.LD2	2.16215	237.267
360.8	Load.LD1	1.78583	237.437
360.8	Load.LD4	1.97975	236.989
360.8	Load.LD5	1.86036	236.88
360.8	Load.LD6	2.06599	236.788
360.8	Load.LD7	1.90827	236.716
360.8	Load.LD8	1.89683	236.661
360.8	Load.LD9	1.80024	236.625
360.8	Load.LD10	1.95236	236.605
420.8	Load.LD3	2.14504	237.118
420.8	Load.LD2	2.16215	237.267
420.8	Load.LD1	1.78583	237.437
420.8	Load.LD4	1.97975	236.989
420.8	Load.LD5	1.86036	236.88
420.8	Load.LD6	2.06599	236.788
420.8	Load.LD7	1.90827	236.716
420.8	Load.LD8	1.89683	236.661
420.8	Load.LD9	1.80024	236.625
420.8	Load.LD10	1.95236	236.605
480.8	Load.LD3	2.14504	237.118
480.8	Load.LD2	2.16215	237.267
480.8	Load.LD1	1.78583	237.437
480.8	Load.LD4	1.97975	236.989
480.8	Load.LD5	1.86036	236.88
480.8	Load.LD6	2.06599	236.788
480.8	Load.LD7	1.90827	236.716
480.8	Load.LD8	1.89683	236.661
480.8	Load.LD9	1.80024	236.625
480.8	Load.LD10	1.95236	236.605
540.8	Load.LD3	2.14504	237.118
540.8	Load.LD2	2.16215	237.267
540.8	Load.LD1	1.78583	237.437
540.8	Load.LD4	1.97975	236.989
540.8	Load.LD5	1.86036	236.88
540.8	Load.LD6	2.06599	236.788
540.8	Load.LD7	1.90827	236.716
540.8	Load.LD8	1.89683	236.661
540.8	Load.LD9	1.80024	236.625
540.8	Load.LD10	1.95236	236.605
600.8	Load.LD3	2.14504	237.118
600.8	Load.LD2	2.16215	237.267
600.8	Load.LD1	1.78583	237.437
600.8	Load.LD4	1.97975	236.989
600.8	Load.LD5	1.86036	236.88
600.8	Load.LD6	2.06599	236.788
600.8	Load.LD7	1.90827	236.716
